iter	Passed	Remaining
3047	5263	1901
3048	5265	1899
3049	5267	1897
3050	5269	1896
3051	5270	1894
3052	5272	1892
3053	5274	1891
3054	5276	1889
3055	5277	1887
3056	5279	1885
3057	5281	1884
3058	5282	1882
3059	5284	1880
3060	5286	1879
3061	5288	1877
3062	5290	1875
3063	5291	1873
3064	5293	1872
3065	5295	1870
3066	5297	1868
3067	5298	1867
3068	5300	1865
3069	5302	1863
3070	5304	1861
3071	5305	1860
3072	5307	1858
3073	5309	1856
3074	5310	1854
3075	5312	1853
3076	5314	1851
3077	5315	1849
3078	5317	1848
3079	5319	1846
3080	5321	1844
3081	5322	1842
3082	5324	1840
3083	5326	1839
3084	5327	1837
3085	5329	1835
